iter	Logloss
0	0.6878796675
1	0.6826440806
2	0.6778504764
3	0.6736376049
4	0.6698209345
5	0.6661451498
6	0.6627445041
7	0.6597167577
8	0.6569908314
9	0.6547109332
10	0.6526198109
11	0.6506516111
12	0.6488361087
13	0.6470247779
14	0.6454859564
15	0.6440740302
16	0.6425955508
17	0.6412952361
18	0.6401679526
19	0.6391606304
20	0.6380726587
21	0.6371182076
22	0.6363144509
23	0.6355471774
24	0.634763254
25	0.6340568333
26	0.6333758068
27	0.632699645
28	0.6321133447
29	0.6315629837
30	0.6310417708
31	0.6306114474
32	0.6301778777
33	0.6297145364
34	0.6292826478
35	0.6288707418
36	0.6285139882
37	0.6281395369
38	0.6278147732
39	0.6274072045
40	0.6271087073
41	0.626566265
42	0.6262476891
43	0.6259722284
44	0.6257126914
45	0.6254297033
46	0.6252063742
47	0.6249407953
48	0.6246859206
49	0.6243643105
50	0.6241412168
51	0.6239674129
52	0.6237339566
53	0.623570691
54	0.6233568922
55	0.6231429442
56	0.6229108242
57	0.6227352097
58	0.6225547902
59	0.6223838215
60	0.6221416009
61	0.6219435632
62	0.6216804482
63	0.6215321015
64	0.6213184387
65	0.6211588175
66	0.621003454
67	0.6206529645
68	0.6204631142
69	0.6202849994
70	0.6200843089
71	0.6199371593
72	0.6197838518
73	0.6196274571
74	0.6194636378
75	0.6192301715
76	0.6191013
77	0.6189477836
78	0.6187995199
79	0.6186358763
80	0.61850024
81	0.618362067
82	0.6182198517
83	0.6180649326
84	0.6178650446
85	0.6176820055
86	0.6175435672
87	0.6173700119
88	0.617166327
89	0.6170298784
90	0.6168902761
91	0.6167598029
92	0.6165958543
93	0.6164486782
94	0.6163199426
95	0.616145754
96	0.6160690041
97	0.61593871
98	0.6158089829
99	0.6156591573
100	0.6155330016
101	0.6153968779
102	0.6152258163
103	0.615058986
104	0.614781141
105	0.6146819183
106	0.6145508781
107	0.6144079929
108	0.6142915334
109	0.6141472522
110	0.6140706382
111	0.6137754371
112	0.6136473548
113	0.6135422096
114	0.6134121742
115	0.6133023633
116	0.6131914448
117	0.6130150179
118	0.6128659881
119	0.6127271253
120	0.6126015997
121	0.6124938746
122	0.6122752974
123	0.6121595441
124	0.6120148584
125	0.6118592993
126	0.6117399249
127	0.611599434
128	0.6114883564
129	0.6113379471
130	0.6112128227
131	0.6110736814
132	0.6109625242
133	0.6108525011
134	0.610750148
135	0.610651877
136	0.6105156106
137	0.6103723641
138	0.6102355174
139	0.6101184743
140	0.6099761363
141	0.6098644352
142	0.609730709
143	0.6095102682
144	0.6093782796
145	0.6092529894
146	0.6091658503
147	0.6090012484
148	0.6089460229
149	0.6088517046
150	0.6087110346
151	0.6085759223
152	0.6084174617
153	0.6083391565
154	0.608215395
155	0.6080726591
156	0.608009316
157	0.6078663612
158	0.6077281816
159	0.6075643622
160	0.6074276383
161	0.6073281005
162	0.6071879345
163	0.6070851404
164	0.606939808
165	0.6068427938
166	0.6067130965
167	0.6065945777
168	0.6064691118
169	0.6063778707
170	0.606280946
171	0.6061399013
172	0.6058629086
173	0.6057643955
174	0.6056579371
175	0.6055439613
176	0.6054419398
177	0.6053357235
178	0.6052382814
179	0.605169238
180	0.6050625044
181	0.6049190721
182	0.6048061707
183	0.6046567098
184	0.6044985377
185	0.6044228821
186	0.6040481556
187	0.603924089
188	0.6038231883
189	0.6037193331
190	0.6036032615
191	0.6035031102
192	0.6034054593
193	0.6032957446
194	0.6031767947
195	0.603028385
196	0.6027764749
197	0.6026912889
198	0.602555981
199	0.6024499736
200	0.6022681547
201	0.6021327274
202	0.6019987558
203	0.6018962402
204	0.6018076421
205	0.6016945815
206	0.6015716622
207	0.6014226988
208	0.6012892776
209	0.6012119872
210	0.6010704683
211	0.600920331
212	0.6007878085
213	0.6006163224
214	0.6004947794
215	0.6003553827
216	0.6002170107
217	0.6001056943
218	0.5999889463
219	0.599835987
220	0.5997194014
221	0.5995947977
222	0.5993691241
223	0.5992395429
224	0.5991400118
225	0.5989984199
226	0.5988441276
227	0.5986589363
228	0.5985425165
229	0.5983800104
230	0.5981924614
231	0.5980721453
232	0.5979429952
233	0.5977724973
234	0.5976697695
235	0.5975132024
236	0.597412242
237	0.5973443559
238	0.5971817834
239	0.5970879426
240	0.5969707999
241	0.5968295861
242	0.5967177524
243	0.5965721149
244	0.5964372546
245	0.5963044801
246	0.5961386778
247	0.5959995597
248	0.5958382141
249	0.5957480574
250	0.5956320853
251	0.5954490163
252	0.5953648982
253	0.5952472946
254	0.5951113864
255	0.594945017
256	0.5948010111
257	0.5946068466
258	0.5944673073
259	0.5943500652
260	0.5941970761
261	0.5940215577
262	0.5938693279
263	0.5937177382
264	0.5935917815
265	0.5934882379
266	0.5933508342
267	0.5932087582
268	0.5930438644
269	0.5928809338
270	0.5927075443
271	0.5925219319
272	0.5923898903
273	0.5922290255
274	0.592043496
275	0.5919217142
276	0.5917748664
277	0.5916130897
278	0.5914705561
279	0.5913467946
280	0.5912469385
281	0.5911278327
282	0.5909860054
283	0.5908277305
284	0.5906929465
285	0.5905296113
286	0.5903732796
287	0.5901990744
288	0.5900601884
289	0.5898809063
290	0.5896554085
291	0.5895108222
292	0.5893363683
293	0.5892260534
294	0.5891352136
295	0.5889634026
296	0.5888161768
297	0.5886409137
298	0.5884736457
299	0.5883856909
