iter	Passed	Remaining
0	78	23422
1	117	17436
2	153	15169
3	185	13707
4	218	12909
5	252	12374
6	288	12086
7	312	11406
8	327	10599
9	362	10521
10	396	10410
11	412	9902
12	426	9426
13	440	9001
14	456	8670
15	467	8300
16	480	7998
17	499	7822
18	520	7697
19	536	7508
20	548	7280
21	570	7205
22	584	7038
23	596	6854
24	608	6691
25	622	6558
26	645	6527
27	660	6416
28	678	6342
29	693	6239
30	711	6174
31	737	6173
32	766	6205
33	797	6235
34	837	6344
35	886	6499
36	905	6435
37	945	6515
38	971	6503
39	989	6429
40	1004	6346
41	1022	6284
42	1041	6222
43	1062	6182
44	1084	6147
45	1105	6102
46	1121	6036
47	1138	5974
48	1156	5926
49	1185	5927
50	1211	5913
51	1245	5940
52	1291	6018
53	1324	6033
54	1362	6069
55	1434	6249
56	1459	6221
57	1496	6244
58	1526	6233
59	1552	6210
60	1593	6241
61	1627	6247
62	1650	6210
63	1676	6180
64	1701	6152
65	1718	6091
66	1732	6024
67	1751	5976
68	1772	5934
69	1786	5870
70	1801	5810
71	1839	5824
72	1863	5793
73	1887	5765
74	1912	5738
75	1944	5730
76	1989	5761
77	2012	5727
78	2053	5744
79	2080	5722
80	2119	5729
81	2144	5700
82	2167	5667
83	2182	5613
84	2201	5567
85	2224	5535
86	2250	5509
87	2265	5456
88	2289	5427
89	2305	5380
90	2328	5347
91	2345	5303
92	2367	5270
93	2380	5215
94	2401	5181
95	2412	5125
96	2426	5077
97	2442	5033
98	2458	4990
99	2485	4971
100	2512	4950
101	2543	4938
102	2575	4925
103	2602	4905
104	2628	4881
105	2646	4843
106	2668	4812
107	2686	4776
108	2715	4758
109	2752	4754
110	2781	4736
111	2809	4716
112	2828	4680
113	2845	4642
114	2869	4616
115	2900	4601
116	2930	4582
117	2964	4572
118	2990	4548
119	3013	4520
120	3039	4495
121	3059	4463
122	3078	4430
123	3101	4401
124	3132	4384
125	3167	4374
126	3214	4379
127	3244	4359
128	3285	4354
129	3318	4339
130	3353	4325
131	3379	4301
132	3409	4280
133	3434	4254
134	3460	4229
135	3490	4208
136	3520	4188
137	3544	4161
138	3562	4126
139	3580	4092
140	3595	4054
141	3611	4018
142	3624	3979
143	3635	3938
144	3650	3902
145	3668	3869
146	3684	3834
147	3701	3801
148	3716	3766
149	3731	3731
150	3748	3698
151	3764	3665
152	3784	3636
153	3802	3604
154	3822	3575
155	3845	3549
156	3871	3526
157	3892	3497
158	3914	3471
159	3943	3450
160	3982	3438
161	4004	3411
162	4028	3386
163	4051	3359
164	4068	3328
165	4095	3306
166	4110	3273
167	4127	3242
168	4140	3209
169	4158	3179
170	4173	3148
171	4194	3121
172	4213	3092
173	4233	3065
174	4244	3031
175	4261	3002
176	4279	2973
177	4298	2945
178	4312	2915
179	4323	2882
180	4341	2854
181	4358	2825
182	4370	2794
183	4387	2766
184	4397	2733
185	4408	2701
186	4421	2671
187	4440	2645
188	4455	2616
189	4472	2589
190	4487	2561
191	4508	2536
192	4534	2514
193	4568	2496
194	4589	2471
195	4616	2449
196	4635	2423
197	4649	2395
198	4665	2367
199	4681	2340
200	4712	2321
201	4730	2295
202	4753	2271
203	4769	2244
204	4786	2218
205	4806	2193
206	4817	2164
207	4834	2138
208	4851	2112
209	4869	2086
210	4889	2062
211	4908	2037
212	4927	2012
213	4951	1990
214	4973	1966
215	4995	1942
216	5014	1918
217	5039	1895
218	5058	1870
219	5084	1849
220	5105	1825
221	5128	1801
222	5164	1783
223	5197	1763
224	5221	1740
225	5258	1721
226	5304	1705
227	5351	1689
228	5369	1664
229	5397	1642
230	5453	1629
231	5516	1616
232	5549	1595
233	5577	1573
234	5593	1547
235	5609	1521
236	5629	1496
237	5642	1469
238	5658	1444
239	5677	1419
240	5695	1394
241	5716	1370
242	5756	1350
243	5782	1327
244	5820	1306
245	5842	1282
246	5877	1261
247	5909	1239
248	5931	1214
249	5958	1191
250	5974	1166
251	5995	1141
252	6045	1123
253	6101	1104
254	6128	1081
255	6151	1057
256	6173	1032
257	6198	1009
258	6218	984
259	6230	958
260	6245	933
261	6263	908
262	6290	885
263	6313	860
264	6340	837
265	6360	812
266	6390	789
267	6414	765
268	6443	742
269	6471	719
270	6500	695
271	6523	671
272	6547	647
273	6572	623
274	6595	599
275	6620	575
276	6631	550
277	6643	525
278	6663	501
279	6692	478
280	6713	453
281	6728	429
282	6741	404
283	6754	380
284	6765	356
285	6779	331
286	6798	307
287	6810	283
288	6824	259
289	6843	235
290	6859	212
291	6880	188
292	6893	164
293	6915	141
294	6936	117
295	6967	94
296	6996	70
297	7019	47
298	7047	23
299	7079	0
